1231231231234,Cidades de Papel,John Green,Intriseca,2010,filipi
2342342342345,A Rainha Vermelha,Victoria Aveyard,Seguinte,2012,filipi
4564564564567,Água para Elefantes,Sara Cruen,Arqueiro,1999,filipi
2981230981238,Jardim de Inverno,Kristin Hannah,Novo Conceito,2009,filipi
0981238908904,O Alquimista,Paulo Coelho,Planeta,2018,filipi
0560981230984,Poderosa,Sergio Klein,Fundamento,2018,filipi
8901238908765,Eclipse,Stephanie Meyer,Intriseca,2017,filipi
7891237898673,O Despertar,L. J. Smith,Galera,2018,filipi
8762138761366,Petrus Logus,Augusto Cury,Página,2018,filipi
7651236781238,O Morro dos Ventos Uivantes,Emily Bronte,Seguinte,2000,filipi
7896784562345,A Guardiã de Histórias,Victoria Schwab,Record,2001,filipi
1238901238974,A Culpa é das Estrelas,John Green,Intriseca,1750,filipi
